question,answer,answer_gemma2b_hybrid
What nationality is the quick read that is called scones when cut in wedges?,Tibetan,The context does not provide sufficient information to answer the question.
Which NFL football team that plays its home games in New York did Nevil McCaskill play for?,Buffalo Bills,The context does not provide sufficient information to answer the question.
"When was one of the supporting roles actors in ""This Is Spinal Tap"" born? ","July 8, 1951",The context does not provide sufficient information to answer the question.
 Lind guest starred on a  television series that premiered on what date?,"September 29, 2013",The context does not provide sufficient information to answer the question.
In what year was the actress who played Zoey Bartlet born?,1982,The context does not provide sufficient information to answer the question.
Who directed the 2015 American action film starring the actor who played Richard B. Riddick?,James Wan,The context does not provide sufficient information to answer the question.
"Himgiri Zee University is a Private university located in Dehradun,is the capital city of Uttarakhand, a state in the northern part of which country?",India,The context does not provide sufficient information to answer the question.
"Which director, Piers Haggard or Penelope Spheeris, is best known as a documentary film director whose works include the trilogy titled ""The Decline of Western Civilization""?",Penelope Spheeris,The context does not provide sufficient information to answer the question.
What notable member of the Liberty Generation founded a village in Kentucky?,Daniel Boone,The context does not provide sufficient information to answer the question.
"Kubilay ""Kubi"" Türkyilmaz completed his international career as the all-time joint leading goal scorer for a team known in German as what?",Schweizer Nati,The context does not provide sufficient information to answer the question.
Guiping and Linxia City are both what?,county-level city,Guiping and Linxia City are both county-level cities.
Angus Brayshaw is the grandson of the Australian who played what two sports?,Australian rules football and cricket,The context does not provide sufficient information to answer the question.
"Cleve Bryant, is a former American football player and coach, and worked for which former American college football coach, at the University of North Carolina at Chapel Hill?",Mack Brown,The context does not provide sufficient information to answer the question.
"Who was born first, Dan Brown or Henry Roth?",Henry Roth,The context does not provide sufficient information to answer the question.
"Subgenre of heavy metal, Neoclassical metal, was pioneered by an English rock band formed in Hertford in what year?",1968,The context does not provide sufficient information to answer the question.
What does University of Alabama at Birmingham and University of Kansas have in common?,public research,The context does not provide sufficient information to answer the question.
Who is the director of the film in which Brad Pitt has a role as a Canadian intelligence officer and Jared Francis Harris had significant supporting role?,Robert Zemeckis,The context does not provide sufficient information to answer the question.
Where was the event that Igor Anatolyevich Pashkevich skated for Russia in 1994 held?,Hamar Olympic Amphitheatre,The context does not provide sufficient information to answer the question.
"Which has more locations, Rosati's or Cottage Inn Pizza",Rosati's,The context does not provide sufficient information to answer the question.
What does the company that sponsered the 2009 Grand National produce?,beer,The context does not provide sufficient information to answer the question.
Who played the role of Frank castle in the 2004 action film in which Ben Foster played a role?,Thomas Jane,The context does not provide sufficient information to answer the question.
Roehrig Motorsports entered into a partnership in 1999 with the track athlete who was famous for what two sports?,heptathlon as well as long jump,The context does not provide sufficient information to answer the question.
"Who was born first, Dan Brown or Katherine Anne Porter?",Katherine Anne Porter,The context does not provide sufficient information to answer the question.
Nikki Pradhan is highly skilled in maneuvering a ball or puck into an opponent's goal using what?,a hockey stick,The context does not provide sufficient information to answer the question.
"Australian drama film directed and written by Sarah Spillane, features a storyline that occurred during the riots that took place on the evening of what date?",Saturday the 14 February 2004,The context does not provide sufficient information to answer the question.
"""GTO"" is a song by Sinitta, the song is about a girl whose boyfriend cares more about his car, than her, a GT car produced by Ferrari from 1962 to 1964 for homologation into the FIA's Group 3 Grand Touring Car category?",Ferrari 250 GTO,The context does not provide sufficient information to answer the question.
What is the name of the automobile reservation service that is available at Midtown Station?,Zipcar,The context does not provide sufficient information to answer the question.
"Which artist featured in ""Cloud Nine"" is from South Gate, California?",Cypress Hill,The context does not provide sufficient information to answer the question.
A Best Actor Golden Globe nominee played in a 1999 film that was a modernization of what late-16th century William Shakespeare comedy?,The Taming of the Shrew,The context does not provide sufficient information to answer the question.
 Eve Beglarian was born in a city that is the county seat of what county?,Washtenaw County,The context does not provide sufficient information to answer the question.
"What is the abbreviation to the magazine that called Qvwm  ""an unusually impressive imposter""?",LXF,The context does not provide sufficient information to answer the question.
"Douglas Park, New South Wales is near the highway that runs for how long?",840 km,The context does not provide sufficient information to answer the question.
"Which genus has more species, Cyclamen or Ostrowskia?",Cyclamen,The context does not provide sufficient information to answer the question.
What mountain was both the site of the Sloss Mines and Altamont School?,Red Mountain,The context does not provide sufficient information to answer the question.
Are Carl Wayne and Ken both singers and actors?,yes,The context does not provide sufficient information to answer the question.
"Which writer, James Merrill or Colin Wilson, won the Pulitzer Prize?",James Ingram Merrill,The context does not provide sufficient information to answer the question.
"Which actor is known for being in westerns, Anthony Mann or Luis Valdez?",Anthony Mann,The context does not provide sufficient information to answer the question.
John Irving was drafted by a team that competes in the NBA as a member club of which division?,Eastern Conference Central Division,The context does not provide sufficient information to answer the question.
"What American actor (born April 26,1958,) best known for his role in the show Breaking Bad, played a role in Money Monster?",Giancarlo Esposito,The context does not provide sufficient information to answer the question.
Q1 What’s the nickname of the star in the movie  ,Dingding,The context does not provide sufficient information to answer the question.
What type of vegetation does Biarum and Magnolia have in common?,plant,The context does not provide sufficient information to answer the question.
What are the charges Scott Peterson received in relationship to the death or Laci Denise Peterson and Connor Peterson?,"Scott Peterson, was later convicted of murder in the first degree for her death, and in the second degree for the death of their prenatal son, Conner","What are the charges Scott Peterson received in relationship to the death or Laci Denise Peterson and Connor Peterson?
```
The context does not provide sufficient information to answer the question.
```"
"What resort has over 3,000 slot machines and is the only depiction of Soviet culture in the US?",Tropicana Atlantic City,The context does not provide sufficient information to answer the question.
What does the Tilted Kilt Pub & Eatery's attire influence?,"the architecture, food, music, and overall 'feel' of the restaurant",The context does not provide sufficient information to answer the question.
Steve Deontay Logan was named a first team All-American his senior year along with which American former professional basketball player and the current head coach for Coppin State University in Baltimore?,Juan Dixon,The context does not provide sufficient information to answer the question.
"Tet Offensive and Battle of Luzon, both are concerning the same War?",no,The context does not provide sufficient information to answer the question.
Sam Mercer worked with director M. Night Shyamalan in which project that stars Bruce Willis and Samuel L. Jackson?,Unbreakable,The context does not provide sufficient information to answer the question.
The Lecompton Constitution was preceded by a constitution drafted during a convention organized by who?,Free-Staters,The context does not provide sufficient information to answer the question.
"which  religious belief which holds that the universe, Earth, and all life on Earth were created by direct acts of God did ICR espouses its world view  ",Young Earth creationism,The context does not provide sufficient information to answer the question.
Greeks are one of the smallest immigrant groups in which country with a 16.8% immigrant population?,Norway,The context does not provide sufficient information to answer the question.
"Which football team made its first apprearance at the finals in the first World Cup to be held in Asia, causing a huge upset by defeating France 1-0?",Senegal national football team,The context does not provide sufficient information to answer the question.
Are the English Cocker Spaniel and Jack Russell Terrier large dog breeds?,no,The context does not provide sufficient information to answer the question.
Who Fears Death was written by a writer born when?,"April 8, 1974",The context does not provide sufficient information to answer the question.
What television series featuring Albert Reed Jr. aired on CBS between 1974 and 1979?,Good Times,The context does not provide sufficient information to answer the question.
Are both Artux and Laohekou county-level cities?,yes,The context does not provide sufficient information to answer the question.
"Which superhero in the Marvel Comic, ""Runaway"" both possesses the Fistigons and has control over the Leapfrog?",Chase Stein,The context does not provide sufficient information to answer the question.
"What city was Steve Earle's Grammy-nominated album ""Train' a Comin'"" recorded in?",Nashville,The context does not provide sufficient information to answer the question.
T. J. Watt is the brother of the fullback for which NFL team?,Los Angeles Chargers,The context does not provide sufficient information to answer the question.
Sorghum × drummondii is a type of grass harvested for what type of edible fruit?,caryopsis,The context does not provide sufficient information to answer the question.
"Which fighter plane, also flown by United States Marine Corps World War 2 fighter ace Donald N. Aldrich, held the longest production run of any piston-engine fighter in U.S. history?",Vought F4U Corsair,The context does not provide sufficient information to answer the question.
What was the release date of the Green Day album that House Industries worked on?,"February 1, 1994",The context does not provide sufficient information to answer the question.
"Blue Jasmine is a film that tells the story of a rich Manhattan Socialite, played by what Australian actress and theater director who played Katherine Hepburn in Martin Sorsese's film ""The Aviator""?",Catherine Elise Blanchett,The context does not provide sufficient information to answer the question.
Who was traded by the Minnesota Vikings for Wendal Edward Tucker in May 1971?,Lance Rentzel,The context does not provide sufficient information to answer the question.
"Target Corporation is the second-largest discount store retailer in the United States, it was founded by George Dayton, an American businessman, and philanthropist, headquartered in Minneapolis, in which state?",Minnesota,The context does not provide sufficient information to answer the question.
"What phenomenon said to be often seen on the mekong river and was included in the 2002 Thai comedu-drama, Mekhong Full Moon Party?",Naga fireball,The context does not provide sufficient information to answer the question.
What organization does Susumu Ito and 442nd Infantry Regiment have in common?,United States Army,The context does not provide sufficient information to answer the question.
"Hazel Mae Barker, is a Canadian sportscaster, she was the former lead anchor for which's organization, SportsDesk news program, which is an American regional sports cable and satellite television network that is owned by a joint venture of Fenway Sports Group?",NESN (New England Sports Network),The context does not provide sufficient information to answer the question.
Billy Dean covered what song recorded by American singer songwriter John Denver and written by John Martin Sommers?,Thank God I'm a Country Boy,The context does not provide sufficient information to answer the question.
"What airline flies to the Sultan Ismail Petra Airport and is headquartered in Petaling Jaya, Selangor, Malaysia?",Malindo Air,The context does not provide sufficient information to answer the question.
Who was the commanding  Lieutenant General of ARCENT?,George S. Patton,The context does not provide sufficient information to answer the question.
Which country is the language a poem written and sung on a holiday and created in the 13th century from? ,Israel,The context does not provide sufficient information to answer the question.
Which of Neal Morse's band mates was part of the band Dream Theater?,Mike Portnoy,The context does not provide sufficient information to answer the question.
The artist who composed New Americana was born in which month?,September,The context does not provide sufficient information to answer the question.
What city is the band that toured with Def Leppard in the UK from?,Los Angeles,The context does not provide sufficient information to answer the question.
What was the population in 2010 of the hamlet that houses the James Benjamin Homestead?,"4,472",The context does not provide sufficient information to answer the question.
"Wendie Jo Sperber was an American actress, known for her performances in what film?",I Wanna Hold Your Hand,The context does not provide sufficient information to answer the question.
"Which song, written by John Lennon, utilizes an anchor point?",Strawberry Fields Forever,The context does not provide sufficient information to answer the question.
Dixit and Fanorona are the names of what?,game,"Dixit and Fanorona are the names of what?
The context does not provide sufficient information to answer the question."
"The Wild Cat (initially The Joy Ride) was a wooden roller coaster located at Hersheypark in Hershey, Pennsylvania, the roller coaster was constructed in 1923 by which one of the oldest existing roller coaster manufacturing companies in the world, based in Hatfield, Pennsylvania?",Philadelphia Toboggan Company (PTC),The context does not provide sufficient information to answer the question.
The 2000 coach of the college team that plays home games at Floyd Casey Stadium is the current defensive coordinator for what team?,Auburn Tigers,The context does not provide sufficient information to answer the question.
Yury Mukhin is against which Russian President?,Vladimir Vladimirovich Putin,The context does not provide sufficient information to answer the question.
In what U.S. state is the college where Douglas Koshland earned his B.A. in chemistry located?,Pennsylvania,The context does not provide sufficient information to answer the question.
"Darren Criss wrote music an lyrics for a ""Harry Potter"" based parody, for what Chicago based musical theater company?",StarKid Productions,The context does not provide sufficient information to answer the question.
Who was born first Bruno Mattei or Hisham Zreiq?,Bruno Mattei,The context does not provide sufficient information to answer the question.
"The American soprano that sang in ""West Side Story"" dubbed for who in a 1956 film adaptation?",Deborah Kerr,The context does not provide sufficient information to answer the question.
The E4 School of Performing Arts talent show was narrated by someone who was born in what year?,1936,The context does not provide sufficient information to answer the question.
Norm Stewart has a court named after him at the college in what city?,"Columbia, Missouri",The context does not provide sufficient information to answer the question.
What year was the player coached by Des McAleenan born?,1979,The context does not provide sufficient information to answer the question.
Father and son actors Antonio Sabàto Sr. and Jr. were born in which country?,Italy,The context does not provide sufficient information to answer the question.
"In what year was the game designer who wrote ""The Isle of Dread"" with David ""Zeb"" Cook born?",1948,The context does not provide sufficient information to answer the question.
At the Opening Ceremony of the 2000 Sydney Olympics Julie Moncrief Anthony sang an anthem created by what composer?,Peter Dodds McCormick,The context does not provide sufficient information to answer the question.
"A soccer kick, also known as a soccer ball kick in puroresu and shoot fighting, is a reference to a kick that is similar to kicks used in association football, Gerard Gordeau, a Dutch former savateur, karateka, and mixed martial artist, defeated who with a soccer kick, which also knocked out one of his teeth?",Teila Tuli,The context does not provide sufficient information to answer the question.
Statistician Walter Francis Willcox received three degrees from a local college in Massachusetts. Which college?,Amherst College,The context does not provide sufficient information to answer the question.
What was the population of the city in which S. Lester Ralph was the thirtieth Mayor?,"75,754",The context does not provide sufficient information to answer the question.
"Which band has more members, Jimmy Eat World or Wild Strawberries?",Jimmy Eat World,The context does not provide sufficient information to answer the question.
"What is the name of this Irish singer-songwriter, musician, venture capitalist, businessman, and philanthropist, who wrote ""Love Is Blindness"" on the piano?",Bono,The context does not provide sufficient information to answer the question.
Who worked at more universities Alfred Kinsey or Cornel West?,Cornel Ronald West,The context does not provide sufficient information to answer the question.
DMG Entertainment has been behind the production of the 2013 superhero film based on the character from what comics company?,Marvel Comics,The context does not provide sufficient information to answer the question.
"What is a landrace breed of dog developed in the coast of Cantabria, northern Spain, as an assistant to fishermen, Moscow Watchdog or Cantabrian Water Dog ?",Cantabrian Water Dog,The context does not provide sufficient information to answer the question.
What north-south highway goes right by the venue of the Pennsylvania Farm Show?,Interstate 81,The context does not provide sufficient information to answer the question.
In which state is the home field of Manchester Freedom located in?,New Hampshire,The context does not provide sufficient information to answer the question.
"""Aggers"" or ""Spiro"" interviewed for his role in  takeover of the governance of cricket by ICC's 'Big Three', was titled a what?",takeover architects,The context does not provide sufficient information to answer the question.
What are smaller variants of the Israeli submachine guns that copied the MCEM-2's combine wrap-around bolt and magazine in pistol grip considered to be?,machine pistols,The context does not provide sufficient information to answer the question.
What primarily competed with Nintendo 64 and Sega Staurn has a horror-themed adventure game published by Jaleco in 1999?,PlayStation,The context does not provide sufficient information to answer the question.
What is the primary Seattle airport that is connected to the Central Link light rail?,Seattle–Tacoma International Airport,The context does not provide sufficient information to answer the question.
"Spider-Man and Venom: Maximum Carnage features a battle involving what villain who first appeared in ""The Amazing Spider-Man"" #344?",Carnage,The context does not provide sufficient information to answer the question.
"Jerry York was the former CFO of which ""Big Three"" American automobile manufacturer?",Chrysler,The context does not provide sufficient information to answer the question.
"Which church is Catholic based, Vasat Atik Ali Pasha Mosque or Cathedral of the Holy Spirit?",Cathedral of the Holy Spirit,The context does not provide sufficient information to answer the question.
"According to an encyclopedia on the history of Switzerland that aims to take into account the results of modern historical research in a manner accessible to a broader audience, what was a far right political party in Switzerland that flourished during the 1930s?",National Front,The context does not provide sufficient information to answer the question.
The USS McClusky is a Navy ship named for a United States Navy aviator during World War II who is credited with playing a major part in what battle?,Battle of Midway,The context does not provide sufficient information to answer the question.
 Hotham Alpine Resort is set on the slopes of a mountain that sits how far away from Melbourne ?,357 km,The context does not provide sufficient information to answer the question.
Panquehue cheese is similar to the cheese created by settlers from what location?,Emmental valley,The context does not provide sufficient information to answer the question.
"3 is a 2012 Indian Tamil romantic-psychological thriller film written and directed by Aishwarya R. Dhanush in her directorial debut, The film gained high anticipation due to the viral marketing of which song, from the soundtrack of the 2012 Tamil psychological thriller film, ""3""?",Why This Kolaveri Di,The context does not provide sufficient information to answer the question.
What are the closest living relatives of the family of lizards that includes the species Varanus komodoensis?,the anguid and helodermatid lizards.,The context does not provide sufficient information to answer the question.
Red Swoosh was founded by an American businessman born when?,"August 6, 1976",The context does not provide sufficient information to answer the question.
"Which Jacksonville Jaguars season featured some games coached by Doug Marrone, and some games coached by Gus Bradley?",2016 Jacksonville Jaguars season,The context does not provide sufficient information to answer the question.
Which movie staring Isabel Lucas also starred Ethan Hawke as a hematologist?,Daybreakers,The context does not provide sufficient information to answer the question.
 Thomas Joshua Cooper is an American photographer who decends from an indigenous people of where?,Southeastern Woodlands,The context does not provide sufficient information to answer the question.
According to the 2010 census what was the population of the Nevada town which held 13th AVN  Awards ceremony in 1996?,"223,167",The context does not provide sufficient information to answer the question.
Who plays the music that appears in Marquese Scott's most popular video?,Foster the People,The context does not provide sufficient information to answer the question.
"Newspapers in Australia: there are 2 national and 10 state/territory daily newspapers, 35 regional dailies and 470 other regional and suburban newspapers, most major metropolitan newspapers are owned either by News Limited, a subsidiary of which American multinational mass media corporation headquartered in ?",New York City,The context does not provide sufficient information to answer the question.
"Brian Carey Goodwin (25 March 1931 – 15 July 2009) was a Canadian mathematician and biologist, a Professor Emeritus at the Open University, a public distance learning and research university, and one of the biggest universities in the UK for undergraduate education, as a founder of which two subjects?",theoretical biology and biomathematics,The context does not provide sufficient information to answer the question.
"Secure input and output handling is a type of what, which protects computers from theft or damage?",Computer security,The context does not provide sufficient information to answer the question.
"Adron Chambers, who formerly played for the St. Louis Cardinals now plays in which baseball league?",Can-Am League,The context does not provide sufficient information to answer the question.
Who have the Young opened for that has a backing band called The Violators?,Kurt Vile,The context does not provide sufficient information to answer the question.
What is the official nickname of the Fort Richardson which Manu Ginóbili  belong? ,El Alma Argentina,The context does not provide sufficient information to answer the question.
"The 1990 European Cup Final was a football match between Milan of Italy and Benfica of Portugal, played on which dater, The winning goal came in the 68th minute for Milan when Alessandro Costacurta passed the ball to Marco van Basten, who slotted it to Frank Rijkaard, who ran through the defense and scored, Franklin Edmundo ""Frank"" Rijkaard, is a Dutch former footballer and former manager who played as a midfielder or defender?",23 May 1990,The context does not provide sufficient information to answer the question.
In what year was the company that owns the IWGP Tag Team Championship founded?,1972,The context does not provide sufficient information to answer the question.
"What country does Shermans Dale, Pennsylvania and Scotch-Irish Americans have in common?",United States,The context does not provide sufficient information to answer the question.
Bill Harry is the creator of the publication that was founded in what city?,Liverpool,The context does not provide sufficient information to answer the question.
Are both Redbook and Bust targeted towards women?,yes,The context does not provide sufficient information to answer the question.
Eurazeo has invested in the multinational hotel group of which nationality?,French,The context does not provide sufficient information to answer the question.
Are Gloria and Chat both from Great Britain?,no,The context does not provide sufficient information to answer the question.
"The host of Saturday live, which broadcasts 9.00 am on Saturdays, was born in what year?",1962,The context does not provide sufficient information to answer the question.
What is the highest point of the roller coaster at Paradise Pier?,120 ft,The context does not provide sufficient information to answer the question.
"Who directed the film in which Brian Patrick Stepanek had a supporting role in, which was released on July 22, 2005?",Michael Bay,The context does not provide sufficient information to answer the question.
"What McComb, Mississippi-born singer is the subject of the 169th episode of South Park?",Britney Spears,The context does not provide sufficient information to answer the question.
Are both Giuseppe Tornatore and Syed Noor film directors?,yes,The context does not provide sufficient information to answer the question.
Which Irish priest and author was the father of Maria Brontë?,Patrick Brontë,The context does not provide sufficient information to answer the question.
"What year did the group that released ""Rare, Precious and Beautiful, Volume 2"" form?",1958,The context does not provide sufficient information to answer the question.
"The Garrick Club is a gentlemen's club in the heart of London founded in 1831, since its conception has catered to members such as which English actor and theatre manager, that died on 2 July 1917?",Sir Herbert Beerbohm Tree,The context does not provide sufficient information to answer the question.
"What band that Mike Peters worked with was formed in Dunfermline, Fife, in 1981?",Big Country,The context does not provide sufficient information to answer the question.
"The European School, Munich moved to its current location in a borough that was built starting in what year?",1967,The context does not provide sufficient information to answer the question.
"Which Colombian-Canadian electronic musician incorporates a variety of styles and influences and released the album La Papessa, which won the 2017 Polaris Music Prize?",Lido Pimienta,The context does not provide sufficient information to answer the question.
"The New Orleans VooDoo were a professional arena football team based in New Orleans, Louisiana played there games at this multi purpose indoor arena",The Smoothie King Center,"Question: What was the home arena of the New Orleans VooDoo?
Answer: The New Orleans VooDoo played their home games in the arena from 2004 until the team disbanded in 2008."
"Who has more credits to their name, Brendon Small or Paul Day?",Brendon Small,The context does not provide sufficient information to answer the question.
"David I. Arkin is the father of an American actor, director, screenwriter, musician, and singer, who performed in Popi and Catch-22, and who was born when?","March 26, 1934",The context does not provide sufficient information to answer the question.
Which state has a college football team that won a Rose Bowl the year prior to losing in a Buffalo Wild Wings Bowl?,Texas,The context does not provide sufficient information to answer the question.
"Who had more well-known films, Leos Carax or Gene Saks?",Gene Saks,The context does not provide sufficient information to answer the question.
"Are the cities of Dashiqiao and Xinghua, Jiangsu in the same country?",yes,The context does not provide sufficient information to answer the question.
"What is the name of the country that Joel Surnow was born in and the show ""24"" was created?",United States,The context does not provide sufficient information to answer the question.
"Which of the prominent actors which Carrie Genzel has worked with egan her acting career in 2001, with several minor television and film roles?",Megan Fox,The context does not provide sufficient information to answer the question.
"The song that became Will Smith's first ""Billboard"" Hot 100 to reach number one is based around a sample of what?","""He's the Greatest Dancer""",The context does not provide sufficient information to answer the question.
"Out of the two members of Hi-Gate, which was voted the No. 1 DJ in the world in 1995?",Judge Jules,The context does not provide sufficient information to answer the question.
The publisher of the Encyclopedia of Aesthetics is the second oldest publisher behind whom?,Cambridge University Press,The context does not provide sufficient information to answer the question.
What is the name of the city in Austria where this well known extreme metal band is from?,Salzburg,What is the name of the city in Austria where this well known extreme metal band is from?
Chun Woo-hee found attention at first in the two timeline film written and directed by who?,Kang Hyeong-cheol,The context does not provide sufficient information to answer the question.
"What journalist and political commentator served as press secretary for Prime Minister Maurice Bishop, the Grenadian politician?",Don Rojas,The context does not provide sufficient information to answer the question.
Guillermo Coppola is a businessman who was the TV host of the program on what 24-hour cable news channel?,Canal 5 Noticias,The context does not provide sufficient information to answer the question.
Kim Jong-min has been a cast member of a variety show that airs on which channel ?,KBS2,The context does not provide sufficient information to answer the question.
"Which genus of tree is closely-related to witch hazel, Toona or Parrotia?",Parrotia,The context does not provide sufficient information to answer the question.
"Which producer both created the character of Dr. Izzie Stevens and also wrote the Dr. Izzie-focused episode ""Time Has Come Today""",Shonda Rhimes,"Question: Which producer both created the character of Dr. Izzie Stevens and also wrote the Dr. Izzie-focused episode ""Time Has Come Today""?
Final Answer: The context does not provide sufficient information to answer the question."
When did the team that beat Manchester City in the FA Cup join the Premier League for the first time?,2005,The context does not provide sufficient information to answer the question.
What Presidential election did one of the candidates promote a tax policy that advocated for the gold standard?,2012,The context does not provide sufficient information to answer the question.
What NBA Finals featured two of the most storied franchises in the NBA who had faced each other six times in the 1960's?,The 1987 NBA Finals,The context does not provide sufficient information to answer the question.
Are both Nuruddin Farah and Rachel Carson Somali novelists?,no,The context does not provide sufficient information to answer the question.
"What company did the person, that sits on the board of an audio recognition and cognition company, found?",Global Catalyst Partners,The context does not provide sufficient information to answer the question.
The album was inspired by an author of what nationality?,English,The context does not provide sufficient information to answer the question.
Joe Pesci played a character based on the nephew of what man known for being a crime Boss?,Frank DeSimone,The context does not provide sufficient information to answer the question.
What is the distance of the full course that Brushy Mountain State Penitentiary is included in?,100 mi,The context does not provide sufficient information to answer the question.
"The Dunes hotel, designed by Maxwell Starkman and directed by Jerome D. Mack, was closed down in what year?",1993,The context does not provide sufficient information to answer the question.
What occupation was shared by Arthur Conan Doyle and Daniil Kharms?,writer,The context does not provide sufficient information to answer the question.
"Who is the drummer for the band that released the album ""The Difference Between Hell and Home"" in 2013?",Kyle Brownlee,The context does not provide sufficient information to answer the question.
"Marc Silverstein, is an American screenwriter, and is known for writing the story for Valentine's Day, an American romantic comedy film directed by Garry Marshall, released in which year?",2010,The context does not provide sufficient information to answer the question.
Are Croton and Chasmanthium in the same family?,no,The context does not provide sufficient information to answer the question.
Who were the children of the woman who was killed byThe Taphians and Teleboans?,Iphicles and Laonome,The context does not provide sufficient information to answer the question.
"In what county lies Scranton, Pennsylvania and the Union Pacific 4012?",Lackawanna County,The context does not provide sufficient information to answer the question.
"What was the occupation of the man who built a small, fast boat designed with a long narrow platform that could reach high speeds?","American designer, builder and racer",The context does not provide sufficient information to answer the question.
"Exposition Park, Los Angeles includes which NFL football stadium?",Los Angeles Memorial Coliseum,The context does not provide sufficient information to answer the question.
The Geotrypetes pesudoangeli is found near what English speaking country?,Liberia,The context does not provide sufficient information to answer the question.
"Which has a greater population, Changchun or Huainan?",Changchun,The context does not provide sufficient information to answer the question.
What was the final record for the Kansas State Wildcats football team in the year that Jim Dickey redshirted 18 players?,2–9,The context does not provide sufficient information to answer the question.
The McDonald Farm supplied stone for a monument that honors which historical figure?,George Washington,The context does not provide sufficient information to answer the question.
Which landlocked African Great Lakes region country is home to Noack's Roundleaf Bat?,Burundi,The context does not provide sufficient information to answer the question.
The house band of The !!!! Beat american televsion program was led by a musician born in which year ?,1924,The context does not provide sufficient information to answer the question.
What was the name of the lead guitarist of the band that released the album Illusion of Progress in 2008?,Mike Mushok,The context does not provide sufficient information to answer the question.
"Bruce Dellis and Jean-Pierre Jeunet, are in which occupation industry?",film,The context does not provide sufficient information to answer the question.
"Which tennis player received a higher world singles ranking, Fabio Fognini or Marin Čilić?",Marin Čilić,The context does not provide sufficient information to answer the question.
What is the name of a former Soviet and current Ukrainian pop singer that created the album Canadian Tour 1983?,Sofia Rotaru,The context does not provide sufficient information to answer the question.
Huozhou and Gejiu are county-level cities in what country?,China,The context does not provide sufficient information to answer the question.
Tom Hagen is a character in the crime novel published in what year?,1969,The context does not provide sufficient information to answer the question.
What is the title of the 2001 American computer-animated fantasy film that stars the voice of Mike Myers and in which John Powell composed the scores for?,Shrek,The context does not provide sufficient information to answer the question.
What comic book did Adrienne Frost's Sister first appear in?,"""Uncanny X-Men"" #129 (January 1980)",The context does not provide sufficient information to answer the question.
Weitz & Luxenberg P.C. works with which American legal clerk and environmental activist?,Erin Brockovich,The context does not provide sufficient information to answer the question.
The 2014 Abu Dhabi Grand Prix was held at a circuit designed by who?,Hermann Tilke,The context does not provide sufficient information to answer the question.
"What year was the actress who played Sophia Petrillo's daughter in the TV series ""Golden Girls"" born in?",1922,The context does not provide sufficient information to answer the question.
Dave O'Brien is a sportscaster for which regional sports cable and satellite network?,New England Sports Network,The context does not provide sufficient information to answer the question.
What military branch did 2013 All-Pac-12 star Pat Tillman enlist to in 2002?,United States Army,The context does not provide sufficient information to answer the question.
What was the name of the debut album of the Hertfordshire-based rock band was signed to record label Infectious Music?,Young for Eternity,The context does not provide sufficient information to answer the question.
What type of ore was mined at both Thompson-Lundmark Mine and Leckie Mine?,gold,The context does not provide sufficient information to answer the question.
Matthew Casey is a fictional character portrayed by actor Jesse Spencer on which American drama tv show that debuted in 2012?,"""Chicago Fire""",The context does not provide sufficient information to answer the question.
What British painter and musician was the bass player included on Anthology 1?,Stuart Sutcliffe,The context does not provide sufficient information to answer the question.
Are Peter Murphy and Superchick both Goth Rock groups ?,no,The context does not provide sufficient information to answer the question.
"What is the name of this American botanist and inventor born in the 1860s, whose birthplace was Diamond, Missouri?",George Washington Carver,The context does not provide sufficient information to answer the question.
In what city was the first NFL draft located that occurred at the Willard Hotel?,Washington D.C.,The context does not provide sufficient information to answer the question.
"Which opera was the first opera specifically composed for television in America, Partenope or Amahl and the Night Visitors?",Amahl and the Night Visitors,The context does not provide sufficient information to answer the question.
Gold Mountain Casino is about 34 miles north of the largest casino in the United States based on what?,gaming floor space,The context does not provide sufficient information to answer the question.
Velli is the last album released by the singer of what heritage before his death?,Indian Punjabi,The context does not provide sufficient information to answer the question.
"Who was the son of a wealthy American businessman, US senator, and who's features was in Deadwood?",William Randolph Hearst,The context does not provide sufficient information to answer the question.
David Alfaro Siqueiros was a Mexican muralist who designed the Polyforum Cultural Siqueiros and was a member of what political party?,Mexican Communist Party,The context does not provide sufficient information to answer the question.
"What action-adventure survival video game published by the indie studio Hello Games was combined with ""Super Mario Brothers"" to create the fangame ""No Mario's Sky""?",No Man's Sky,The context does not provide sufficient information to answer the question.
"The Sunday River Bridge, also known locally as the Artists Bridge, is a historic covered bridge in Newry, Maine, it is located northeast of Sunday River, a ski resort located in Newry, in which state?",Maine,The context does not provide sufficient information to answer the question.
South Tongu in the district that has a capital of what city?,Sogakope,The context does not provide sufficient information to answer the question.
Were the groups The Exies and Portugal. The Man from the same country?,yes,The context does not provide sufficient information to answer the question.
"Midnight Sun is an upcoming American romantic drama film directed by Scott Speer, and is stars which  American actor, comedian and retired United States Marine Corps Reserve officer, and is best known for his work as a correspondent on Comedy Central's ""The Daily Show"" from 2006 to 2008?",Rob Riggle,The context does not provide sufficient information to answer the question.
Which alcoholic brand named after the man who rebuilt its business did Justin Timberlake sing about in 2015?,Jim Beam,The context does not provide sufficient information to answer the question.
"What was the real name of the performer who released an album called ""Silver Star""?",Paul Francis Gadd,The context does not provide sufficient information to answer the question.
"In between Brand New and King Charles which included Derrick Sherman (guitar, backing vocals, keyboards)?",Brand New,The context does not provide sufficient information to answer the question.
